Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
W,5.0,1.2154908795976086e-13,3.385830613797712e-05,3.253741782626767e-08,-13.964115733523668,-4.543562681960178e-07,1,4,hbo,True,S1_D4 hbo,201,1,1,trained,True
constant,5.0,1.2154908795976086e-13,4.320525621182379e-05,7.080971498993552e-09,13.284684748788948,9.406847407928885e-08,1,4,hbo,True,S1_D4 hbo,201,1,1,trained,True
A,5.0,6.920228229452004e-14,0.0229849922012597,2.5043545363812784e-08,3.2385997323501554,8.110601931234306e-08,1,4,hbr,True,S1_D4 hbr,201,1,1,trained,True
AV,5.0,6.920228229452004e-14,0.014437910722586482,2.5211688441087994e-08,-3.6703618661603823,-9.253601983568586e-08,1,4,hbr,True,S1_D4 hbr,201,1,1,trained,True
V,5.0,6.920228229452004e-14,0.008720671328066835,2.5055562482636355e-08,4.172175481839995,1.0453620347376544e-07,1,4,hbr,True,S1_D4 hbr,201,1,1,trained,True
W,5.0,6.920228229452004e-14,0.01967737327494862,2.455090133338314e-08,-3.3798512765801565,-8.297839521282847e-08,1,4,hbr,True,S1_D4 hbr,201,1,1,trained,True
constant,5.0,6.920228229452004e-14,0.9562410368064939,5.342901933537677e-09,-0.05767557987231105,-3.081549672176774e-10,1,4,hbr,False,S1_D4 hbr,201,1,1,trained,True
A,5.0,1.140948880374923e-14,2.3649117955129527e-05,1.016877634549298e-08,-15.025158142289667,-1.5278747270460642e-07,2,1,hbo,True,S2_D1 hbo,201,1,1,trained,True
AV,5.0,1.140948880374923e-14,8.474025002209366e-05,1.0237049799671123e-08,-11.566705832635646,-1.1840894362683755e-07,2,1,hbo,True,S2_D1 hbo,201,1,1,trained,True
V,5.0,1.140948880374923e-14,0.0010912483671145184,1.0173655822094989e-08,-6.7391289045340645,-6.85615780154616e-08,2,1,hbo,True,S2_D1 hbo,201,1,1,trained,True
W,5.0,1.140948880374923e-14,0.0001949047096156523,9.968741290926785e-09,-9.729916575935665,-9.699502112780283e-08,2,1,hbo,True,S2_D1 hbo,201,1,1,trained,True
constant,5.0,1.140948880374923e-14,5.7835145017798765e-05,2.169452208494132e-09,12.513215935177412,2.71468239459346e-08,2,1,hbo,True,S2_D1 hbo,201,1,1,trained,True
A,5.0,9.81520876272949e-16,6.865554230653033e-07,2.98253379119966e-09,30.714374907827768,9.160666103817126e-08,2,1,hbr,True,S2_D1 hbr,201,1,1,trained,True
AV,5.0,9.81520876272949e-16,3.699718895167985e-06,3.0025586080714055e-09,21.882314517432047,6.570293181884147e-08,2,1,hbr,True,S2_D1 hbr,201,1,1,trained,True
V,5.0,9.81520876272949e-16,0.0002594026288949156,2.9839649568929945e-09,9.164144860027871,2.734548712221423e-08,2,1,hbr,True,S2_D1 hbr,201,1,1,trained,True
W,5.0,9.81520876272949e-16,1.866427432494021e-05,2.9238628863240132e-09,15.767071842282489,4.610075618565415e-08,2,1,hbr,True,S2_D1 hbr,201,1,1,trained,True
constant,5.0,9.81520876272949e-16,9.173054767935472e-06,6.363070934384675e-10,-18.21262755779249,-1.1588824105176274e-08,2,1,hbr,True,S2_D1 hbr,201,1,1,trained,True
A,5.0,1.4457427579684186e-14,0.03274279450649616,1.144672145899257e-08,-2.9270983663863044,-3.350567968309621e-08,2,2,hbo,True,S2_D2 hbo,201,1,1,trained,True
AV,5.0,1.4457427579684186e-14,0.41573244129399767,1.1523575073082222e-08,0.8869333034964135,1.022064250765774e-08,2,2,hbo,False,S2_D2 hbo,201,1,1,trained,True
V,5.0,1.4457427579684186e-14,0.08566845327099747,1.1452214156209145e-08,-2.1367546238584763,-2.4470571551697387e-08,2,2,hbo,False,S2_D2 hbo,201,1,1,trained,True
W,5.0,1.4457427579684186e-14,0.00879172966323638,1.122154731081018e-08,-4.163791336334375,-4.672418147301773e-08,2,2,hbo,True,S2_D2 hbo,201,1,1,trained,True
constant,5.0,1.4457427579684186e-14,0.05018205718456691,2.442094732493077e-09,2.56758729931335,6.270291418869257e-09,2,2,hbo,False,S2_D2 hbo,201,1,1,trained,True
A,5.0,7.539242490524788e-16,6.096230410619183e-05,2.61396313417442e-09,12.378525759439132,3.23570099906023e-08,2,2,hbr,True,S2_D2 hbr,201,1,1,trained,True
AV,5.0,7.539242490524788e-16,0.6242110715505379,2.6315133571512005e-09,0.5216153029989012,1.3726376371360794e-09,2,2,hbr,False,S2_D2 hbr,201,1,1,trained,True
V,5.0,7.539242490524788e-16,9.807770942246878e-05,2.615217441626798e-09,-11.222668237862223,-2.934971771724837e-08,2,2,hbr,True,S2_D2 hbr,201,1,1,trained,True
W,5.0,7.539242490524788e-16,0.09138218410950662,2.5625425659159436e-09,-2.0858331439670423,-5.345036216813824e-09,2,2,hbr,False,S2_D2 hbr,201,1,1,trained,True
constant,5.0,7.539242490524788e-16,0.9655002558387288,5.576745816491863e-10,0.04546021389557818,2.5352005765899088e-11,2,2,hbr,False,S2_D2 hbr,201,1,1,trained,True
