Condition,Chroma,ch_name,subject,day,group,theta
constant,hbr,S11_D19 hbr,201,1,trained,3.947431111025522e-09
constant,hbr,S11_D19 hbr,201,3,trained,-6.8676211367489205e-09
A,hbo,S11_D21 hbo,201,1,trained,-1.277066200755928e-07
A,hbo,S11_D21 hbo,201,3,trained,-3.4817400078048536e-08
AV,hbo,S11_D21 hbo,201,1,trained,-1.0845670079232177e-07
AV,hbo,S11_D21 hbo,201,3,trained,1.4567098053863168e-10
V,hbo,S11_D21 hbo,201,1,trained,-1.9013764741378946e-09
V,hbo,S11_D21 hbo,201,3,trained,1.5820565123431623e-08
W,hbo,S11_D21 hbo,201,1,trained,1.484025781900491e-09
W,hbo,S11_D21 hbo,201,3,trained,8.67138060376486e-09
constant,hbo,S11_D21 hbo,201,1,trained,1.684386563871599e-08
constant,hbo,S11_D21 hbo,201,3,trained,4.414327142929615e-09
A,hbr,S11_D21 hbr,201,1,trained,2.4487257676253303e-08
A,hbr,S11_D21 hbr,201,3,trained,1.4826353001334351e-08
AV,hbr,S11_D21 hbr,201,1,trained,-7.695715363900394e-09
AV,hbr,S11_D21 hbr,201,3,trained,3.01616549169436e-08
V,hbr,S11_D21 hbr,201,1,trained,1.790437394255184e-08
V,hbr,S11_D21 hbr,201,3,trained,-4.015546749293728e-08
W,hbr,S11_D21 hbr,201,1,trained,6.302689224436224e-09
W,hbr,S11_D21 hbr,201,3,trained,1.9461412305533007e-09
constant,hbr,S11_D21 hbr,201,1,trained,-1.4420892406798859e-09
constant,hbr,S11_D21 hbr,201,3,trained,1.2238980163854136e-10
A,hbo,S11_D23 hbo,201,1,trained,-9.110770051273024e-08
A,hbo,S11_D23 hbo,201,3,trained,-6.8611615583306406e-09
AV,hbo,S11_D23 hbo,201,1,trained,-4.1799876633181795e-08
AV,hbo,S11_D23 hbo,201,3,trained,4.184390888145541e-08
V,hbo,S11_D23 hbo,201,1,trained,-2.491535661259135e-08
V,hbo,S11_D23 hbo,201,3,trained,6.380998021993105e-08
W,hbo,S11_D23 hbo,201,1,trained,-2.03717236386627e-08
W,hbo,S11_D23 hbo,201,3,trained,1.5707410366002187e-08
constant,hbo,S11_D23 hbo,201,1,trained,1.132058933061702e-08
constant,hbo,S11_D23 hbo,201,3,trained,-3.1440877904025846e-09
A,hbr,S11_D23 hbr,201,1,trained,2.91927957865829e-08
A,hbr,S11_D23 hbr,201,3,trained,2.5246433910113386e-08
AV,hbr,S11_D23 hbr,201,1,trained,-1.150768315578453e-08
AV,hbr,S11_D23 hbr,201,3,trained,2.9314013053986543e-08
V,hbr,S11_D23 hbr,201,1,trained,3.202723470417548e-08
V,hbr,S11_D23 hbr,201,3,trained,-1.4401301343105862e-08
W,hbr,S11_D23 hbr,201,1,trained,2.3391164106105243e-08
W,hbr,S11_D23 hbr,201,3,trained,-1.1106842797087599e-08
constant,hbr,S11_D23 hbr,201,1,trained,-2.4954217785410463e-09
constant,hbr,S11_D23 hbr,201,3,trained,-2.3680720190706018e-09
A,hbo,S12_D20 hbo,201,1,trained,-5.04548852914753e-08
A,hbo,S12_D20 hbo,201,3,trained,5.24932661992826e-08
AV,hbo,S12_D20 hbo,201,1,trained,-3.424887145607028e-08
AV,hbo,S12_D20 hbo,201,3,trained,5.9329019180612787e-08
V,hbo,S12_D20 hbo,201,1,trained,-4.811947429979075e-09
V,hbo,S12_D20 hbo,201,3,trained,5.837009075896645e-08
W,hbo,S12_D20 hbo,201,1,trained,3.66641029240236e-08
W,hbo,S12_D20 hbo,201,3,trained,2.2212531639226362e-08
constant,hbo,S12_D20 hbo,201,1,trained,3.8249018296095906e-09
constant,hbo,S12_D20 hbo,201,3,trained,-1.2425024728655121e-08
A,hbr,S12_D20 hbr,201,1,trained,-4.7149680017229354e-09
A,hbr,S12_D20 hbr,201,3,trained,-3.8900887210089965e-08
AV,hbr,S12_D20 hbr,201,1,trained,-2.0716488452968387e-08
AV,hbr,S12_D20 hbr,201,3,trained,-3.3818119888578094e-08
V,hbr,S12_D20 hbr,201,1,trained,-3.806430325184798e-09
V,hbr,S12_D20 hbr,201,3,trained,-3.036033003790148e-08
W,hbr,S12_D20 hbr,201,1,trained,-2.4798044187111896e-08
W,hbr,S12_D20 hbr,201,3,trained,6.9765935926991076e-09
constant,hbr,S12_D20 hbr,201,1,trained,3.4613409232509608e-09
constant,hbr,S12_D20 hbr,201,3,trained,6.914936718841795e-09
A,hbo,S12_D21 hbo,201,1,trained,-1.52455414092198e-07
A,hbo,S12_D21 hbo,201,3,trained,-9.668330657025635e-08
AV,hbo,S12_D21 hbo,201,1,trained,-1.8995514516318779e-07
AV,hbo,S12_D21 hbo,201,3,trained,-3.3563282774720816e-08
V,hbo,S12_D21 hbo,201,1,trained,-9.611082663837502e-08
V,hbo,S12_D21 hbo,201,3,trained,-2.584425436594176e-08
W,hbo,S12_D21 hbo,201,1,trained,-2.5344744605481098e-08
W,hbo,S12_D21 hbo,201,3,trained,-6.730626395738736e-08
constant,hbo,S12_D21 hbo,201,1,trained,2.8984860008125745e-08
constant,hbo,S12_D21 hbo,201,3,trained,1.5099817699915945e-08
A,hbr,S12_D21 hbr,201,1,trained,7.49294005075017e-08
A,hbr,S12_D21 hbr,201,3,trained,4.675267852730173e-08
AV,hbr,S12_D21 hbr,201,1,trained,6.31082632160486e-08
AV,hbr,S12_D21 hbr,201,3,trained,2.2894943699558618e-08
V,hbr,S12_D21 hbr,201,1,trained,6.990225256648715e-08
V,hbr,S12_D21 hbr,201,3,trained,-4.0142155216498494e-08
W,hbr,S12_D21 hbr,201,1,trained,2.4181533583444107e-08
W,hbr,S12_D21 hbr,201,3,trained,4.338804982416154e-08
constant,hbr,S12_D21 hbr,201,1,trained,-1.1765297813485233e-08
constant,hbr,S12_D21 hbr,201,3,trained,-3.7129948104918033e-09
A,hbo,S12_D22 hbo,201,1,trained,-4.894385394731153e-08
A,hbo,S12_D22 hbo,201,3,trained,2.0915327339797366e-08
AV,hbo,S12_D22 hbo,201,1,trained,-5.0348404525356123e-08
AV,hbo,S12_D22 hbo,201,3,trained,-8.913588687708883e-09
V,hbo,S12_D22 hbo,201,1,trained,-3.106412988213424e-08
V,hbo,S12_D22 hbo,201,3,trained,-4.097977224064347e-08
W,hbo,S12_D22 hbo,201,1,trained,1.8884202604122242e-08
W,hbo,S12_D22 hbo,201,3,trained,-2.387207339330409e-08
constant,hbo,S12_D22 hbo,201,1,trained,6.154288807579738e-09
constant,hbo,S12_D22 hbo,201,3,trained,1.641381475816221e-09
A,hbr,S12_D22 hbr,201,1,trained,1.3912257320200742e-08
A,hbr,S12_D22 hbr,201,3,trained,-1.3241996627911313e-08
AV,hbr,S12_D22 hbr,201,1,trained,-1.2376751703545548e-08
AV,hbr,S12_D22 hbr,201,3,trained,-1.4167568045591174e-09
V,hbr,S12_D22 hbr,201,1,trained,1.4209846661120546e-08
V,hbr,S12_D22 hbr,201,3,trained,-4.493091350067868e-09
W,hbr,S12_D22 hbr,201,1,trained,-2.372432927636107e-08
W,hbr,S12_D22 hbr,201,3,trained,-7.090821062707731e-09
constant,hbr,S12_D22 hbr,201,1,trained,1.2836165748799812e-09
constant,hbr,S12_D22 hbr,201,3,trained,3.223129405599177e-09
A,hbo,S12_D24 hbo,201,1,trained,-8.911684648697039e-08
A,hbo,S12_D24 hbo,201,3,trained,-4.8315837017627634e-08
AV,hbo,S12_D24 hbo,201,1,trained,-8.773196233107996e-08
AV,hbo,S12_D24 hbo,201,3,trained,-9.661954065854174e-09
V,hbo,S12_D24 hbo,201,1,trained,-1.8799034515491337e-08
V,hbo,S12_D24 hbo,201,3,trained,6.563169899513326e-09
W,hbo,S12_D24 hbo,201,1,trained,1.810429566635515e-08
W,hbo,S12_D24 hbo,201,3,trained,-1.027491921305764e-08
constant,hbo,S12_D24 hbo,201,1,trained,1.2223006213917087e-08
constant,hbo,S12_D24 hbo,201,3,trained,3.915439141740999e-09
A,hbr,S12_D24 hbr,201,1,trained,1.2398783163675855e-09
A,hbr,S12_D24 hbr,201,3,trained,-1.3266902985236667e-08
AV,hbr,S12_D24 hbr,201,1,trained,-4.608146724588884e-09
AV,hbr,S12_D24 hbr,201,3,trained,1.2275006359605252e-09
V,hbr,S12_D24 hbr,201,1,trained,1.7914779527074786e-08
V,hbr,S12_D24 hbr,201,3,trained,-6.271282180662048e-09
W,hbr,S12_D24 hbr,201,1,trained,-3.5448722859508227e-08
W,hbr,S12_D24 hbr,201,3,trained,-6.104023535609944e-09
constant,hbr,S12_D24 hbr,201,1,trained,2.1039725014255305e-09
constant,hbr,S12_D24 hbr,201,3,trained,1.017457010887437e-09
A,hbo,S13_D21 hbo,201,1,trained,-1.2159832818456978e-07
A,hbo,S13_D21 hbo,201,3,trained,4.74938378815722e-10
AV,hbo,S13_D21 hbo,201,1,trained,-1.338954650153028e-07
AV,hbo,S13_D21 hbo,201,3,trained,2.6546725639353308e-08
V,hbo,S13_D21 hbo,201,1,trained,4.320146684008723e-08
V,hbo,S13_D21 hbo,201,3,trained,1.5627318278499778e-08
W,hbo,S13_D21 hbo,201,1,trained,7.197849511221211e-08
W,hbo,S13_D21 hbo,201,3,trained,3.899973504870037e-08
constant,hbo,S13_D21 hbo,201,1,trained,1.0200213863318683e-08
constant,hbo,S13_D21 hbo,201,3,trained,-1.6063937480902842e-09
A,hbr,S13_D21 hbr,201,1,trained,5.392976353585736e-08
A,hbr,S13_D21 hbr,201,3,trained,7.12826738507863e-08
AV,hbr,S13_D21 hbr,201,1,trained,2.747236872576559e-09
AV,hbr,S13_D21 hbr,201,3,trained,4.3594251382867505e-08
V,hbr,S13_D21 hbr,201,1,trained,3.675910676897306e-08
V,hbr,S13_D21 hbr,201,3,trained,-5.4504241972421455e-08
W,hbr,S13_D21 hbr,201,1,trained,-1.8482833414218802e-09
W,hbr,S13_D21 hbr,201,3,trained,-6.540835798381164e-09
constant,hbr,S13_D21 hbr,201,1,trained,-5.348344143869846e-09
constant,hbr,S13_D21 hbr,201,3,trained,-5.163363129559018e-09
A,hbo,S13_D23 hbo,201,1,trained,-1.2605164571431377e-07
A,hbo,S13_D23 hbo,201,3,trained,-1.855333277935722e-08
AV,hbo,S13_D23 hbo,201,1,trained,-1.0707750198117286e-07
AV,hbo,S13_D23 hbo,201,3,trained,4.21105634252484e-08
V,hbo,S13_D23 hbo,201,1,trained,-3.647748376857785e-09
V,hbo,S13_D23 hbo,201,3,trained,2.0650799393588225e-08
W,hbo,S13_D23 hbo,201,1,trained,1.5459648767853873e-08
W,hbo,S13_D23 hbo,201,3,trained,4.6949941556180605e-08
constant,hbo,S13_D23 hbo,201,1,trained,1.6387768937997337e-08
constant,hbo,S13_D23 hbo,201,3,trained,-1.3478603180859027e-09
A,hbr,S13_D23 hbr,201,1,trained,-2.9570047103545024e-09
A,hbr,S13_D23 hbr,201,3,trained,7.188710434852972e-09
AV,hbr,S13_D23 hbr,201,1,trained,-1.3984290196290688e-08
AV,hbr,S13_D23 hbr,201,3,trained,2.8190631707975352e-08
V,hbr,S13_D23 hbr,201,1,trained,2.9209256121754365e-08
V,hbr,S13_D23 hbr,201,3,trained,-1.2094952486853559e-08
W,hbr,S13_D23 hbr,201,1,trained,-9.00499251417375e-09
W,hbr,S13_D23 hbr,201,3,trained,-5.474072874284986e-09
constant,hbr,S13_D23 hbr,201,1,trained,1.4556447412707086e-09
constant,hbr,S13_D23 hbr,201,3,trained,-1.6213177386537435e-09
A,hbo,S13_D24 hbo,201,1,trained,-1.2293973175055943e-07
A,hbo,S13_D24 hbo,201,3,trained,-5.508785194771062e-08
AV,hbo,S13_D24 hbo,201,1,trained,-1.694386856408578e-07
