index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S5_D29 hbo]:Condition[V],-6.393737483280526e-08,2.756325164712549e-07,-0.23196600913184764,0.8165644145539473,-6.041671800846082e-07,4.7629243041899767e-07,S5_D29 hbo,V,False,0.996946650613581,False
ch_name[S6_D16 hbo]:Condition[V],8.511483617034714e-09,4.642524437887309e-08,0.18333740039305138,0.8545332904300342,-8.248032333902716e-08,9.950329057309658e-08,S6_D16 hbo,V,False,0.996946650613581,False
ch_name[S6_D18 hbo]:Condition[V],7.598494361802853e-08,4.642524437887309e-08,1.6367160719267486,0.10168980920247501,-1.5006863338033342e-08,1.669767505740904e-07,S6_D18 hbo,V,False,0.6111760457145142,False
ch_name[S7_D15 hbo]:Condition[V],1.2073890948937424e-08,4.64252443788731e-08,0.26007167243759155,0.7948084883772264,-7.891791600712447e-08,1.0306569790499931e-07,S7_D15 hbo,V,False,0.996946650613581,False
ch_name[S7_D17 hbo]:Condition[V],2.3365768264401395e-08,4.642524437887309e-08,0.5032987672335127,0.614754233042445,-6.762603869166048e-08,1.1435757522046326e-07,S7_D17 hbo,V,False,0.996946650613581,False
ch_name[S7_D19 hbo]:Condition[V],8.715988741734706e-08,4.6425244378873085e-08,1.8774244181902735,0.06045994739745396,-3.8319195387147956e-09,1.781516943734089e-07,S7_D19 hbo,V,False,0.4944280142725124,False
ch_name[S8_D16 hbo]:Condition[V],1.2947781194075745e-08,4.642524437887309e-08,0.27889527276172915,0.7803251964541791,-7.804402576198613e-08,1.0393958815013761e-07,S8_D16 hbo,V,False,0.996946650613581,False
ch_name[S8_D17 hbo]:Condition[V],2.3444660684636096e-09,4.642524437887308e-08,0.05049981103665477,0.9597240999850765,-8.864734088759823e-08,9.333627302452546e-08,S8_D17 hbo,V,False,0.996946650613581,False
ch_name[S8_D18 hbo]:Condition[V],5.40518862452728e-08,4.6425244378873105e-08,1.1642779045848248,0.24431140782908578,-3.69399207107891e-08,1.4504369320133469e-07,S8_D18 hbo,V,False,0.8737080811946656,False
ch_name[S8_D20 hbo]:Condition[V],6.670205552051889e-09,4.642524437887309e-08,0.14367626151015642,0.8857561172531478,-8.432160140400998e-08,9.766201250811377e-08,S8_D20 hbo,V,False,0.996946650613581,False
ch_name[S9_D17 hbo]:Condition[V],8.172592743741942e-08,4.642524437887309e-08,1.7603768925901604,0.07834392460147017,-9.265879518642452e-09,1.7271773439348128e-07,S9_D17 hbo,V,False,0.5544339279488659,False
ch_name[S9_D19 hbo]:Condition[V],6.282247531611096e-10,4.642524437887308e-08,0.013531964377703919,0.9892033840487313,-9.036358220290074e-08,9.162003170922295e-08,S9_D19 hbo,V,False,0.996946650613581,False
ch_name[S9_D20 hbo]:Condition[V],2.49057901994039e-10,4.6425244378873085e-08,0.0053647084754470074,0.9957196024659518,-9.074274905406782e-08,9.12408648580559e-08,S9_D20 hbo,V,False,0.996946650613581,False
ch_name[S9_D21 hbo]:Condition[V],9.354654318284476e-08,4.6425244378873085e-08,2.014993015856161,0.043905380870650566,2.5547362267829012e-09,1.845383501389066e-07,S9_D21 hbo,V,True,0.4257276005292554,False
ch_name[S10_D18 hbo]:Condition[W],4.894176440615137e-08,4.642524437887309e-08,1.054205854184442,0.2917886803838591,-4.20500425499105e-08,1.3993357136221325e-07,S10_D18 hbo,W,False,0.8758862657471521,False
ch_name[S10_D20 hbo]:Condition[W],9.909084538766038e-09,4.6425244378873105e-08,0.2134417313541466,0.8309824334395393,-8.108272241729586e-08,1.0090089149482794e-07,S10_D20 hbo,W,False,0.996946650613581,False
ch_name[S10_D22 hbo]:Condition[W],1.4823469907355638e-08,4.642524437887309e-08,0.31929761718392613,0.749500839408021,-7.616833704870624e-08,1.0581527686341751e-07,S10_D22 hbo,W,False,0.996946650613581,False
ch_name[S10_D30 hbo]:Condition[W],1.2343212473329346e-07,2.756325164712548e-07,0.4478140907085829,0.6542873732494348,-4.1679768051850924e-07,6.636619299850962e-07,S10_D30 hbo,W,False,0.996946650613581,False
ch_name[S11_D19 hbo]:Condition[W],-9.02609721447107e-09,4.6425244378873085e-08,-0.194422179898715,0.8458453242157478,-1.0001790417053293e-07,8.196570974159079e-08,S11_D19 hbo,W,False,0.996946650613581,False
ch_name[S11_D21 hbo]:Condition[W],-4.162130819511509e-09,4.642524437887309e-08,-0.08965231901731432,0.9285635071994262,-9.515393777557339e-08,8.682967613655036e-08,S11_D21 hbo,W,False,0.996946650613581,False
ch_name[S11_D23 hbo]:Condition[W],-4.290707633111004e-08,4.642524437887309e-08,-0.9242186423607912,0.3553724913916969,-1.338988832871719e-07,4.808473062495183e-08,S11_D23 hbo,W,False,0.9061159012640561,False
ch_name[S12_D20 hbo]:Condition[W],-1.0995534114354277e-08,4.642524437887308e-08,-0.23684386073707042,0.8127779234817462,-1.0198734107041612e-07,7.999627284170758e-08,S12_D20 hbo,W,False,0.996946650613581,False
ch_name[S12_D21 hbo]:Condition[W],3.467903189097572e-09,4.642524437887309e-08,0.07469865232795034,0.9404544799657704,-8.75239037669643e-08,9.445971014515944e-08,S12_D21 hbo,W,False,0.996946650613581,False
ch_name[S12_D22 hbo]:Condition[W],-3.3218979438129285e-08,4.6425244378873085e-08,-0.7155369860206137,0.47427729509717487,-1.2421078639419115e-07,5.7772827517932574e-08,S12_D22 hbo,W,False,0.9860680485636177,False
ch_name[S12_D24 hbo]:Condition[W],-2.6128632634369153e-08,4.642524437887309e-08,-0.5628108798121827,0.5735636709699994,-1.1712043959043102e-07,6.486317432169272e-08,S12_D24 hbo,W,False,0.996946650613581,False
ch_name[S13_D21 hbo]:Condition[W],-3.5456407074277183e-08,4.642524437887309e-08,-0.7637311886808821,0.4450274506100579,-1.2644821403033906e-07,5.553539988178469e-08,S13_D21 hbo,W,False,0.9860680485636177,False
ch_name[S13_D23 hbo]:Condition[W],-3.475950719490367e-08,4.6425244378873085e-08,-0.7487199617353402,0.45402600959346684,-1.2575131415096554e-07,5.623229976115819e-08,S13_D23 hbo,W,False,0.9860680485636177,False
ch_name[S13_D24 hbo]:Condition[W],-2.6606731707106603e-08,4.642524437887309e-08,-0.5731091362701503,0.5665708015646013,-1.1759853866316847e-07,6.438507524895528e-08,S13_D24 hbo,W,False,0.996946650613581,False
ch_name[S13_D25 hbo]:Condition[W],-1.969321374554842e-08,4.6425244378873085e-08,-0.4241919242219495,0.6714258499436618,-1.1068502070161028e-07,7.129859321051344e-08,S13_D25 hbo,W,False,0.996946650613581,False
ch_name[S13_D31 hbo]:Condition[W],2.060102816067628e-08,2.756325164712548e-07,0.0747409210800596,0.940420848395532,-5.196287770911264e-07,5.60830833412479e-07,S13_D31 hbo,W,False,0.996946650613581,False
ch_name[S14_D22 hbo]:Condition[W],-1.2457621915186501e-09,4.642524437887309e-08,-0.026833723940192414,0.9785923550813931,-9.223756914758053e-08,8.974604476454322e-08,S14_D22 hbo,W,False,0.996946650613581,False
ch_name[S14_D24 hbo]:Condition[W],-2.8777258422659514e-08,4.642524437887308e-08,-0.619862292760602,0.5353484528370668,-1.1976906537872136e-07,6.221454853340233e-08,S14_D24 hbo,W,False,0.996946650613581,False
ch_name[S14_D26 hbo]:Condition[W],-1.7259829948532856e-07,4.6425244378873105e-08,-3.7177682486012604,0.00020099052111117633,-2.6359010644139046e-07,-8.160649252926667e-08,S14_D26 hbo,W,True,0.012327418628152148,True
ch_name[S15_D11 hbo]:Condition[W],-3.674748928141841e-08,4.64252443788731e-08,-0.7915411059880435,0.4286282987884664,-1.277392962374803e-07,5.4244317674643476e-08,S15_D11 hbo,W,False,0.9858450872134727,False
ch_name[S15_D14 hbo]:Condition[W],-1.0276600537355036e-07,4.64252443788731e-08,-2.2135802783262557,0.026857665224372027,-1.9375781232961224e-07,-1.1774198417488471e-08,S15_D14 hbo,W,True,0.3088631500802783,False
